no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,20240710,新竹縣新豐鄉,透天厝, ,房間（起居室）,1,安非他命,11.99
2,毒品,20240708,桃園市八德區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
3,毒品,20240702,臺中市太平區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.61
3,毒品,20240702,臺中市太平區,公路(省、縣、鄉、鎮道, , ,1,安非他命,16.56
4,毒品,20240717,高雄市阿蓮區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.89
5,毒品,20240705,桃園市桃園區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.1
6,毒品,20240703,臺中市南區,出租公寓（套房）, , ,2,海洛因,37
6,毒品,20240703,臺中市南區,出租公寓（套房）, , ,2,安非他命,0
7,毒品,20240718,臺北市大安區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.37
8,毒品,20240703,桃園市中壢區,公路(省、縣、鄉、鎮道, ,汽車上,1,安非他命,4.22
9,毒品,20240712,花蓮縣花蓮市,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.48
10,毒品,20240702,桃園市楊梅區,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.09
11,毒品,20240708,彰化縣二林鎮,公路(省、縣、鄉、鎮道, , ,1,海洛因,0
11,毒品,20240708,彰化縣二林鎮,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
12,毒品,20240703,高雄市前鎮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.3
13,毒品,20240731,南投縣水里鄉,普通住宅(一、二層樓), , ,1,海洛因,1.44
13,毒品,20240731,南投縣水里鄉,普通住宅(一、二層樓), , ,1,安非他命,0.9
14,毒品,20240717,桃園市平鎮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
15,毒品,20240703,嘉義市西區,公路(省、縣、鄉、鎮道, ,街道馬路,1,安非他命,0
16,毒品,20240717,屏東縣東港鎮,普通住宅(一、二層樓), , ,1,海洛因,0.26
17,毒品,20240707,嘉義縣中埔鄉,普通住宅(一、二層樓), , ,1,安非他命,0.48
18,毒品,20240715,臺中市北區,普通住宅(一、二層樓), , ,1,安非他命,10
