no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,20240406,宜蘭縣蘇澳鎮,公路(省、縣、鄉、鎮道, , ,1,甲基安非他命,2.69
2,毒品,20240401,金門縣金湖鎮,機場, , ,1,海洛因,8.75
2,毒品,20240401,金門縣金湖鎮,機場, , ,1,安非他命,0.83
3,毒品,20240409,臺北市萬華區,旅社飯店客棧, , ,1,安非他命,3.1
4,毒品,20240415,桃園市大園區,公路(省、縣、鄉、鎮道,Twitter,電腦網路,1,甲基卡西酮,16.45
4,毒品,20240415,桃園市大園區,公路(省、縣、鄉、鎮道,Twitter,電腦網路,1,甲基卡西酮,18.49
4,毒品,20240415,桃園市大園區,公路(省、縣、鄉、鎮道,Twitter,電腦網路,1,甲基卡西酮,36.06
4,毒品,20240415,桃園市大園區,公路(省、縣、鄉、鎮道,Twitter,電腦網路,1,甲基卡西酮,46.53
5,毒品,20240424,新北市土城區,大廈(六層以上建築物), , ,1,大麻（大麻花及大麻葉）,0.2
6,毒品,20240424,高雄市苓雅區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.39
6,毒品,20240424,高雄市苓雅區,公路(省、縣、鄉、鎮道, , ,1,安非他命,2.81
7,毒品,20240414,屏東縣屏東市,公路(省、縣、鄉、鎮道, , ,1,安非他命,15.3
8,毒品,20240424,臺北市萬華區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
9,毒品,20240424,臺北市萬華區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
10,毒品,20240402,雲林縣斗南鎮,旅社飯店客棧, , ,1,安非他命,2.11
11,毒品,20240410,桃園市中壢區,公寓(三至五層建築物), , ,1,海洛因,1.52
12,毒品,20240422,桃園市八德區,公路(省、縣、鄉、鎮道, ,停車場,1,安非他命,19.35
