分析項目,103年高中職學生目前吸電子煙率(%),104年高中職學生目前吸電子煙率(%),105年高中職學生目前吸電子煙率(%),106年高中職學生目前吸電子煙率(%),103年高中職男性學生目前吸電子煙率(%),104年高中職男性學生目前吸電子煙率(%),105年高中職男性學生目前吸電子煙率(%),106年高中職男性學生目前吸電子煙率(%),103年高中職女性學生目前吸電子煙率(%),104年高中職女性學生目前吸電子煙率(%),105年高中職女性學生目前吸電子煙率(%),106年高中職女性學生目前吸電子煙率(%)
整體,2.1,4.1,4.8,4.5,2.5,5.8,6.6,6.4,1.6,2.1,2.7,2.2
年級別=一年級,2,3.9,4.6,4.4,2.5,5.8,6.4,6.3,1.4,1.9,2.6,2.2
年級別=二年級,2,4.9,3.9,4.1,2.6,6.5,5.4,5.6,1.3,2.9,2.3,2.3
年級別=三年級,2.3,3.3,5.6,4.8,2.3,5,7.9,7.1,2.1,1.5,3.1,2.1
學校類別=高中,1.9,1.7,2.9,2.4,2.4,2.6,4.5,3.2,1.5,0.7,1.2,1.4
學校類別=高職,2,4.3,6.1,4.3,2.6,6.1,8.1,5.6,1.3,2.4,3.8,2.7
學校類別=綜合,2.1,4.6,4.8,4.6,2.4,6.7,6.6,7,1.6,2.1,2.6,1.9
學校類別=夜間部,2.9,9.4,10,14,3,10.5,11.7,16.4,2.8,7,7.3,7.8
縣市別=台北市,2.4,4,4.7,7,2.8,6.4,6.9,10.2,2,1.6,2.3,3.2
縣市別=基隆市,2.3,4.3,6,2.8,2.8,5.7,8.7,3.7,1.7,2.5,3.4,1.9
縣市別=原台中市,1,2.2,2.5,1.7,1.3,3,3.5,1.9,0.8,1.4,1.7,1.6
縣市別=原台南市,1.1,3.6,4.2,3.7,0.9,7,6.8,5.6,1.3,0.4,1.7,2
縣市別=原高雄市,2.2,6.1,4.4,5.7,3.8,8.6,5.5,8,0.6,3.3,3.3,3
縣市別=新竹市,1.4,6.4,3.5,5.6,1.9,10.5,4.4,7.6,0.9,1.7,2.6,2.9
縣市別=嘉義市,2.7,3.6,4.7,2.9,3.2,5.4,7.3,4.6,2.2,2.2,2.6,1.2
縣市別=宜蘭縣,2.5,5.1,4.6,5.5,3.1,8.6,6.9,7.7,1.9,1.1,2.2,2.5
縣市別=新北市,1.9,2.6,5.6,4,1.9,2.5,7.7,6.3,1.9,2.3,2.4,1.5
縣市別=桃園市,2.7,4.2,4.9,4.1,2.2,5.7,6.8,6.5,2.8,2.5,2.7,1.4
縣市別=新竹縣,2.8,4.4,4.1,3.6,3,6,5.2,4.8,2.5,2.4,2.8,1.8
縣市別=苗栗縣,1.8,4.5,7.3,4.7,2.2,6.9,8,7.1,1.4,2.4,6.1,2
縣市別=原台中縣,2,4.9,5.1,4.4,2.4,7.3,7.1,5.4,1.6,1.8,2.6,2.6
縣市別=彰化縣,1.7,2.4,3.6,3.9,2.4,3,5,5.1,0.9,1.8,1.6,1.3
縣市別=南投縣,2.5,5.5,5.6,6,3,7.3,7.6,8.3,1.6,3.4,2.5,2.8
縣市別=雲林縣,1.6,2.5,4.1,4.7,1.9,3.4,5.1,5.5,1.1,1.2,2.3,3.1
縣市別=嘉義縣,2.4,5.2,7.8,2.7,3.6,7.4,8.7,3.6,0.5,1.7,6.2,1
縣市別=原台南縣,1.6,4,4.2,3.5,2.2,5.8,4.6,4.3,1,1.9,3.8,2.6
縣市別=原高雄縣,1.8,4.5,3.9,3.5,2.6,5.8,4.9,5.1,1,3.1,2.3,1.5
縣市別=屏東縣,2.2,5.1,7.8,3.7,3,7,11.8,5.2,1.4,3.1,3.6,2
縣市別=台東縣,4,6.4,7.6,6.6,5.2,8.3,10.6,8.9,2.5,3.8,3.8,3.8
縣市別=花蓮縣,3.1,4.6,7,4.2,3.5,6.3,9.1,5.3,2.4,2.3,4.5,2.8
縣市別=澎湖縣,2.8,5.9,3.2,5.2,4.8,6,5.2,6,0.6,5.7,0.5,3.4
縣市別=金門縣,3.1,2.8,3.5,3.8,3.7,2.8,4.9,4.8,2.4,1.7,1.8,2.2
縣市別=連江縣,1.7,1.1,5.5,6.1,2.2,1.7,5.9,8.9,1.3,0,3.5,2.7
縣市別=台中市,1.4,3.5,4,3.2,1.7,5.2,5.7,4.1,1.1,1.7,2.1,2.1
縣市別=台南市,1.3,3.6,4.2,3.6,1.5,6,5.7,4.9,1.2,1.2,2.7,2.3
縣市別=高雄市,2,5.4,4.2,4.8,3,7.3,5.3,6.8,1,3.3,2.9,2.4
